CreateMoji: string='235', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=296.614928, y=-29.458101
CreateMoji: string='900', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=294.495787, y=-21.696513
CreateMoji: string='225', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=240.084560, y=-136.829889
CreateMoji: string='4000(500x8)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=265.845565, y=-136.563391
CreateMoji: string='245', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=300.341538, y=-136.829889
CreateMoji: string='3000(500x6)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=259.582716, y=-132.876799
CreateMoji: string='1000(500x2)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=284.522754, y=-132.876799
CreateMoji: string='割付基準', dSizeY=2.460630, nMojiShu=0, layer='A-_005-割付基準', x=272.652808, y=-127.167914
CreateMoji: string='3390', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=260.768630, y=-129.456705
CreateMoji: string='389.5', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=209.281219, y=-118.645082
CreateMoji: string='7500(500x15)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=209.014722, y=-73.001935
CreateMoji: string='460', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=209.281219, y=-18.499258
CreateMoji: string='7000(500x14)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=213.486556, y=-69.876935
CreateMoji: string='4570.5', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=218.224888, y=-81.930456
CreateMoji: string='割付基準', dSizeY=2.460630, nMojiShu=0, layer='A-_005-割付基準', x=225.670968, y=-104.119900
CreateMoji: string='補強脚', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=274.118344, y=4.429062
CreateMoji: string='補強脚', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=274.552867, y=-21.382954
CreateMoji: string='補強脚', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=246.620459, y=-26.510831
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=204.759403, y=-134.003129
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=303.439019, y=-130.233993
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=210.277815, y=-6.937028
CreateMoji: string='割付基準部取合図　尺度１：５', dSizeY=0.328084, nMojiShu=0, layer='B01-寸法', x=119.191414, y=-8.065082
CreateMoji: string='基床面　レベル　±10㎜', dSizeY=0.205052, nMojiShu=0, layer='B-_01-寸法', x=117.978771, y=-6.507314
CreateMoji: string='@500', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=123.326701, y=-1.308739
CreateMoji: string='3', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=115.207644, y=-0.980514
CreateMoji: string='500', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=118.239607, y=-0.855514
CreateMoji: string='フリーアクセス部', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=122.655128, y=-0.828864
CreateMoji: string='（座厚）', dSizeY=0.210000, nMojiShu=9, layer='B01-寸法', x=123.065447, y=-2.959211
CreateMoji: string='（辺厚）', dSizeY=0.210000, nMojiShu=9, layer='B01-寸法', x=124.569041, y=-3.525086
CreateMoji: string='33.5', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=122.931022, y=-2.643597
CreateMoji: string='35', dSizeY=0.210000, nMojiShu=9, layer='B01-寸法', x=124.410258, y=-3.251925
CreateMoji: string='H=300㎜', dSizeY=0.210000, nMojiShu=9, layer='B01-寸法', x=126.171790, y=-5.137315
CreateMoji: string='架台', dSizeY=0.356791, nMojiShu=0, layer='B-_01-寸法', x=114.277046, y=-4.210479
CreateMoji: string='M24　正芯ネジ脚', dSizeY=0.210000, nMojiShu=9, layer='B-_01-寸法', x=121.864325, y=-5.435053
CreateMoji: string='@500', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=133.593220, y=31.645627
CreateMoji: string='@500', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=124.283142, y=31.645627
CreateMoji: string='< ウイスカ対策品 >', dSizeY=0.287073, nMojiShu=0, layer='B01-寸法', x=127.681629, y=13.390249
CreateMoji: string='< ウイスカ対策品 >', dSizeY=0.287073, nMojiShu=0, layer='B01-寸法', x=128.304245, y=26.208953
CreateMoji: string='< ウイスカ対策品 >', dSizeY=0.287073, nMojiShu=0, layer='B01-寸法', x=125.540322, y=6.053881
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=307.111627, y=-73.456635
CreateMoji: string='M20　正芯ネジ脚', dSizeY=0.250000, nMojiShu=3, layer='B-_01-寸法', x=127.990848, y=15.721878
CreateMoji: string='（座厚）', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=129.118725, y=17.660818
CreateMoji: string='（辺厚）', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=130.621684, y=17.094943
CreateMoji: string='33.5', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=128.808872, y=17.874565
CreateMoji: string='35', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=130.314313, y=17.413513
CreateMoji: string='H=100（別途）', dSizeY=0.250000, nMojiShu=3, layer='B-_01-寸法', x=121.829635, y=10.732895
CreateMoji: string='H=100（別途）', dSizeY=0.250000, nMojiShu=3, layer='B-_01-寸法', x=121.818455, y=18.571225
CreateMoji: string='415.5', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=323.712825, y=-1.670800
CreateMoji: string='125', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=279.040230, y=-29.458101
CreateMoji: string='415.5', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=323.712825, y=-18.218666
CreateMoji: string='ＣＯＶＥＲＩＮＧ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-165.897600, y=-189.789751
CreateMoji: string='ＤＡＴＥ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-134.647600, y=-189.789751
CreateMoji: string='ＤＲＡＷＮ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-119.022600, y=-189.789751
CreateMoji: string='ＣＨＫＤ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-103.397600, y=-189.789751
CreateMoji: string='ＡＰＰＤ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-87.772600, y=-189.789751
CreateMoji: string='ＦＬＯＯＲ　ＨＥＩＧＨＴ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-165.897600, y=-183.539727
CreateMoji: string='ＳＣＡＬＥ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-87.772600, y=-183.539727
CreateMoji: string='ＤＷＧ　ＮＯ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-72.147600, y=-183.539727
CreateMoji: string='ＰＡＮＥＬ　ＴＹＰＥ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-165.897600, y=-177.289871
CreateMoji: string='ＴＩＴＬＥ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-134.647600, y=-177.289871
CreateMoji: string='ＷＯＲＫＳ　ＮＯ', dSizeY=1.120000, nMojiShu=7, layer='hk002-表題欄', x=-72.147600, y=-177.289871
CreateMoji: string='ＮＯＴＥＳ', dSizeY=1.250000, nMojiShu=0, layer='hk002-表題欄', x=-318.374668, y=-177.477242
CreateMoji: string='1:50', dSizeY=2.500000, nMojiShu=0, layer='hk003-文字', x=-82.591455, y=-187.181809
CreateMoji: string=''26.06.18', dSizeY=1.875000, nMojiShu=0, layer='hk003-文字', x=-132.397984, y=-193.277594
CreateMoji: string='CAD登録図面名', dSizeY=1.875000, nMojiShu=0, layer='hk003-文字', x=-71.476096, y=-197.314600
CreateMoji: string='訂正', dSizeY=2.031250, nMojiShu=0, layer='hk003-文字', x=-36.311381, y=-184.620176
CreateMoji: string='東北', dSizeY=1.687500, nMojiShu=0, layer='hk003-文字', x=-35.640974, y=-179.696247
CreateMoji: string='880-', dSizeY=2.500000, nMojiShu=0, layer='hk003-文字', x=-64.435221, y=-180.448954
CreateMoji: string='BINH', dSizeY=1.875000, nMojiShu=0, layer='hk003-文字', x=-113.271620, y=-193.277594
CreateMoji: string='ＲＥＶＩＳＩＯＮＳ', dSizeY=1.250000, nMojiShu=0, layer='hk002-表題欄', x=-387.124668, y=-177.477242
CreateMoji: string='滝発電所　滝ダム管理所建替工事(殿）', dSizeY=2.187500, nMojiShu=0, layer='hk003-文字', x=-125.630030, y=-180.008492
